cf_id,contact_id,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
2653,2251,Optional responsive customer loyalty,107500,51814,canceled,1480,US,USD,2020-11-20,2021-07-27,cat4,subcat4
2502,6202,Diverse transitional migration,2000,1599,failed,15,US,USD,2021-01-08,2021-10-15,cat2,subcat2
325,3715,Synchronized global task-force,130800,137635,successful,2220,US,USD,2020-12-23,2021-12-23,cat4,subcat4
1345,4242,Focused 6thgeneration forecast,45900,150965,successful,1606,CH,CHF,2020-11-06,2021-08-27,cat5,subcat13
2303,4326,Down-sized analyzing challenge,9000,14455,successful,129,US,USD,2020-10-28,2021-02-15,cat5,subcat11
2224,5560,Progressive needs-based focus group,3500,10850,successful,226,GB,GBP,2020-11-25,2021-02-05,cat7,subcat12
1173,4002,Ergonomic 6thgeneration success,101000,87676,failed,2307,IT,EUR,2021-02-21,2021-11-26,cat5,subcat5
210,3813,Exclusive interactive approach,50200,189666,successful,5419,US,USD,2021-04-04,2021-12-09,cat4,subcat4
1546,5336,Reverse-engineered asynchronous archive,9300,14025,successful,165,US,USD,2021-01-26,2021-12-10,cat5,subcat5
2871,4994,Synergized intangible challenge,125500,188628,successful,1965,DK,DKK,2021-03-16,2021-03-25,cat5,subcat7
2034,1471,Monitored multi-state encryption,700,1101,successful,16,US,USD,2021-04-07,2021-11-26,cat4,subcat4
2677,4482,Profound attitude-oriented functionalities,8100,11339,successful,107,US,USD,2020-11-20,2021-10-18,cat6,subcat14
1865,3241,Digitized client-driven database,3100,10085,successful,134,US,USD,2021-08-23,2022-01-10,cat8,subcat15
170,3477,Organized bi-directional function,9900,5027,failed,88,DK,DKK,2021-04-14,2021-05-01,cat4,subcat4
462,2265,Reduced stable middleware,8800,14878,successful,198,US,USD,2020-11-18,2021-03-18,cat3,subcat9
3122,5911,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,2021-03-17,2021-07-08,cat2,subcat2
1175,2288,Virtual uniform frame,1800,7991,successful,222,US,USD,2020-06-20,2021-01-30,cat1,subcat1
2301,4064,Profound explicit paradigm,90200,167717,successful,6212,US,USD,2020-11-14,2021-07-06,cat6,subcat16
91,1294,Visionary real-time groupware,1600,10541,successful,98,DK,DKK,2020-11-25,2021-03-01,cat6,subcat14
87,5008,Networked tertiary Graphical User Interface,9500,4530,failed,48,US,USD,2021-01-18,2021-03-20,cat4,subcat4
1482,3604,Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,2021-05-23,2021-09-23,cat2,subcat2
1711,3263,Function-based multi-state software,1500,7129,successful,149,US,USD,2020-12-18,2021-06-27,cat4,subcat4
2294,5631,Optimized leadingedge concept,33300,128862,successful,2431,US,USD,2021-02-22,2021-11-10,cat4,subcat4
2389,2851,Sharable holistic interface,7200,13653,successful,303,US,USD,2021-01-25,2022-01-30,cat2,subcat2
378,3714,Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,2021-10-08,2021-11-03,cat2,subcat17
1213,1664,Inverse secondary infrastructure,158100,145243,failed,1467,GB,GBP,2020-09-07,2021-07-29,cat3,subcat9
29,5027,Organic foreground leverage,7200,2459,failed,75,US,USD,2021-03-12,2022-01-05,cat4,subcat4
2309,3070,Reverse-engineered static concept,8800,12356,successful,209,US,USD,2021-10-14,2021-12-24,cat5,subcat7
2101,4248,Multi-channeled neutral customer loyalty,6000,5392,failed,120,US,USD,2021-03-30,2021-05-24,cat3,subcat9
1057,2034,Reverse-engineered bifurcated strategy,6600,11746,successful,131,US,USD,2021-09-29,2021-11-29,cat2,subcat18
2655,4085,Horizontal context-sensitive knowledge user,8000,11493,successful,164,US,USD,2021-03-03,2021-05-22,cat3,subcat9
202,3569,Cross-group multi-state task-force,2900,6243,successful,201,US,USD,2021-07-23,2021-12-04,cat7,subcat12
2025,3889,Expanded 3rdgeneration strategy,2700,6132,successful,211,US,USD,2021-02-09,2021-06-11,cat4,subcat4
2395,3136,Assimilated real-time support,1400,3851,successful,128,US,USD,2020-12-10,2021-03-07,cat4,subcat4
1418,2103,User-centric regional database,94200,135997,successful,1600,CA,CAD,2020-10-20,2021-08-24,cat4,subcat4
1905,2329,Open-source zero administration complexity,199200,184750,failed,2253,CA,CAD,2021-06-15,2021-10-26,cat4,subcat4
1969,3325,Organized incremental standardization,2000,14452,successful,249,US,USD,2021-08-19,2021-11-21,cat3,subcat3
2430,3131,Assimilated didactic open system,4700,557,failed,5,US,USD,2021-06-25,2021-07-16,cat4,subcat4
1291,4995,Vision-oriented logistical intranet,2800,2734,failed,38,US,USD,2021-05-21,2021-09-23,cat3,subcat3
1934,3631,Mandatory incremental projection,6100,14405,successful,236,US,USD,2021-02-23,2021-11-20,cat4,subcat4
1225,5373,Grass-roots needs-based encryption,2900,1307,failed,12,US,USD,2021-10-05,2021-11-06,cat4,subcat4
1363,3126,Team-oriented 6thgeneration middleware,72600,117892,successful,4065,GB,GBP,2020-11-03,2021-09-24,cat3,subcat9
963,2194,Inverse multi-tasking installation,5700,14508,successful,246,IT,EUR,2020-08-10,2021-02-07,cat4,subcat4
1486,2906,Switchable disintermediate moderator,7900,1901,canceled,17,US,USD,2021-06-27,2022-01-17,cat4,subcat4
676,2611,Re-engineered 24/7 task-force,128000,158389,successful,2475,IT,EUR,2021-08-08,2022-01-30,cat4,subcat4
2137,2374,Organic object-oriented budgetary management,6000,6484,successful,76,US,USD,2021-03-19,2021-06-05,cat4,subcat4
2656,3254,Seamless coherent parallelism,600,4022,successful,54,US,USD,2021-07-27,2021-11-30,cat5,subcat11
1556,3571,Cross-platform even-keeled initiative,1400,9253,successful,88,US,USD,2020-05-11,2021-03-09,cat2,subcat18
747,2812,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,2021-06-29,2021-08-27,cat2,subcat17
60,3961,Multi-layered dynamic protocol,9700,14606,successful,170,US,USD,2021-02-25,2021-03-31,cat8,subcat15
2459,3872,Horizontal next generation function,122900,95993,failed,1684,US,USD,2020-12-13,2021-12-26,cat4,subcat4
1903,4736,Pre-emptive impactful model,9500,4460,failed,56,US,USD,2021-06-17,2021-08-27,cat5,subcat11
2003,5119,User-centric bifurcated knowledge user,4500,13536,successful,330,US,USD,2020-12-24,2021-04-16,cat6,subcat19
2885,5725,Triple-buffered reciprocal project,57800,40228,failed,838,US,USD,2021-06-13,2021-11-18,cat4,subcat4
2067,4037,Cross-platform needs-based approach,1100,7012,successful,127,US,USD,2021-06-26,2021-10-21,cat7,subcat12
1610,2109,User-friendly static contingency,16800,37857,successful,411,US,USD,2020-11-01,2021-03-04,cat2,subcat2
2909,3283,Reactive content-based framework,1000,14973,successful,180,GB,GBP,2020-10-09,2021-11-11,cat7,subcat12
1239,6181,Realigned user-facing concept,106400,39996,failed,1000,US,USD,2021-06-25,2021-08-08,cat2,subcat6
2480,3251,Public-key zero tolerance orchestration,31400,41564,successful,374,US,USD,2021-07-03,2021-10-05,cat3,subcat9
2181,3443,Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,2021-05-29,2021-08-20,cat2,subcat8
2030,2988,Organic motivating firmware,7400,12405,successful,203,US,USD,2021-05-16,2021-09-12,cat4,subcat4
2311,1673,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,2020-08-23,2021-03-24,cat2,subcat2
2821,2085,Grass-roots fault-tolerant policy,4800,12516,successful,113,US,USD,2020-07-21,2021-02-22,cat6,subcat19
2468,1672,Monitored scalable knowledgebase,3400,8588,successful,96,US,USD,2020-07-23,2021-01-18,cat4,subcat4
656,4426,Synergistic explicit parallelism,7800,6132,failed,106,US,USD,2021-10-09,2021-11-15,cat4,subcat4
2791,3211,Enhanced systemic analyzer,154300,74688,failed,679,IT,EUR,2020-07-03,2021-06-17,cat6,subcat19
1527,3190,Object-based analyzing knowledge user,20000,51775,successful,498,CH,CHF,2020-08-05,2021-05-15,cat7,subcat12
1891,2081,Pre-emptive radical architecture,108800,65877,canceled,610,US,USD,2020-11-22,2021-12-05,cat4,subcat4
580,3185,Grass-roots web-enabled contingency,2900,8807,successful,180,GB,GBP,2021-03-14,2021-08-29,cat3,subcat3
682,5044,Stand-alone system-worthy standardization,900,1017,successful,27,US,USD,2021-08-06,2021-09-05,cat5,subcat5
3097,1883,Down-sized systematic policy,69700,151513,successful,2331,US,USD,2021-10-18,2021-12-26,cat4,subcat4
873,2067,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,2020-11-29,2021-06-11,cat1,subcat1
1668,4604,Seamless transitional portal,97800,32951,failed,1220,AU,AUD,2021-02-14,2021-11-03,cat7,subcat12
3076,3203,Fully-configurable motivating approach,7600,14951,successful,164,US,USD,2020-08-23,2021-02-06,cat4,subcat4
3146,5758,Upgradable fault-tolerant approach,100,1,failed,1,US,USD,2021-06-22,2021-10-23,cat4,subcat4
253,5755,Reduced heuristic moratorium,900,9193,successful,164,US,USD,2021-10-06,2022-01-27,cat2,subcat6
3088,5150,Front-line web-enabled model,3700,10422,successful,336,US,USD,2020-09-18,2021-08-18,cat3,subcat9
393,4181,Polarized incremental emulation,10000,2461,failed,37,IT,EUR,2021-05-10,2021-08-03,cat2,subcat6
2912,3006,Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,2021-07-09,2021-10-15,cat2,subcat8
478,4865,Total fresh-thinking system engine,6800,9829,successful,95,US,USD,2020-10-08,2021-07-23,cat3,subcat3
1061,2862,Ameliorated clear-thinking circuit,3900,14006,successful,147,US,USD,2021-03-05,2021-05-19,cat4,subcat4
2957,6070,Multi-layered encompassing installation,3500,6527,successful,86,US,USD,2021-05-07,2021-12-28,cat4,subcat4
2015,5300,Universal encompassing implementation,1500,8929,successful,83,US,USD,2020-10-14,2021-07-23,cat5,subcat5
1179,3486,Object-based client-server application,5200,3079,failed,60,US,USD,2020-10-01,2021-06-12,cat5,subcat20
2568,5989,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,2020-05-05,2021-05-30,cat1,subcat1
2869,2849,Re-engineered user-facing approach,61400,73653,successful,676,US,USD,2021-03-17,2021-10-27,cat6,subcat16
718,1612,Re-engineered client-driven hub,4700,12635,successful,361,AU,AUD,2020-10-24,2021-04-12,cat3,subcat3
1211,3307,User-friendly tertiary array,3300,12437,successful,131,US,USD,2021-01-29,2021-02-13,cat1,subcat1
2431,5288,Robust heuristic encoding,1900,13816,successful,126,US,USD,2021-07-02,2021-12-31,cat3,subcat9
468,6026,Team-oriented clear-thinking capacity,166700,145382,failed,3304,IT,EUR,2021-03-20,2021-04-16,cat6,subcat14
1862,2212,De-engineered motivating standardization,7200,6336,failed,73,US,USD,2021-09-02,2021-12-31,cat4,subcat4
2300,4591,Business-focused 24hour groupware,4900,8523,successful,275,US,USD,2021-06-18,2021-12-31,cat5,subcat20
449,2771,Organic next generation protocol,5400,6351,successful,67,US,USD,2020-10-07,2021-10-17,cat8,subcat15
283,5682,Reverse-engineered full-range Internet solution,5000,10748,successful,154,US,USD,2021-07-27,2021-11-01,cat5,subcat5
2484,5368,Synchronized regional synergy,75100,112272,successful,1782,US,USD,2021-04-15,2021-10-08,cat7,subcat21
1490,3706,Multi-lateral homogeneous success,45300,99361,successful,903,US,USD,2020-06-21,2021-04-14,cat7,subcat12
186,4034,Seamless zero-defect solution,136800,88055,failed,3387,US,USD,2020-05-21,2021-01-28,cat6,subcat14
2999,3209,Enhanced scalable concept,177700,33092,failed,662,CA,CAD,2022-01-15,2022-02-03,cat4,subcat4
2819,2384,Polarized uniform software,2600,9562,successful,94,IT,EUR,2020-07-19,2021-02-28,cat8,subcat15
2105,3074,Stand-alone web-enabled moderator,5300,8475,successful,180,US,USD,2020-05-10,2021-05-02,cat4,subcat4
1324,2031,Proactive methodical benchmark,180200,69617,failed,774,US,USD,2020-03-24,2021-03-11,cat4,subcat4
1952,5873,Team-oriented 6thgeneration matrix,103200,53067,failed,672,CA,CAD,2021-03-03,2021-06-16,cat4,subcat4
2404,5501,Phased human-resource core,70600,42596,canceled,532,US,USD,2020-09-13,2021-09-17,cat2,subcat2
990,3489,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,2021-03-23,2021-12-06,cat1,subcat1
1459,4210,Secured directional encryption,9600,14925,successful,533,DK,DKK,2020-10-10,2021-07-13,cat5,subcat7
1106,6151,Distributed 5thgeneration implementation,164700,166116,successful,2443,GB,GBP,2021-07-17,2022-01-18,cat3,subcat3
1488,6047,Virtual static core,3300,3834,successful,89,US,USD,2020-10-20,2021-11-02,cat4,subcat4
2107,5445,Secured content-based product,4500,13985,successful,159,US,USD,2020-07-09,2021-05-18,cat2,subcat22
2660,5493,Secured executive concept,99500,89288,failed,940,CH,CHF,2021-07-23,2021-07-28,cat5,subcat5
2647,6036,Balanced zero-defect software,7700,5488,failed,117,US,USD,2020-12-25,2021-12-02,cat4,subcat4
565,2368,Distributed context-sensitive flexibility,82800,2721,canceled,58,US,USD,2021-03-23,2021-04-14,cat5,subcat7
2713,1501,Down-sized disintermediate support,1800,4712,successful,50,US,USD,2020-04-07,2021-02-14,cat6,subcat10
558,4351,Stand-alone mission-critical moratorium,9600,9216,failed,115,US,USD,2021-05-10,2021-12-17,cat7,subcat21
698,3096,Down-sized empowering protocol,92100,19246,failed,326,US,USD,2021-01-14,2021-07-07,cat3,subcat9
321,6162,Fully-configurable coherent Internet solution,5500,12274,successful,186,US,USD,2020-10-18,2021-05-05,cat5,subcat5
1302,1433,Distributed motivating algorithm,64300,65323,successful,1071,US,USD,2020-05-07,2021-03-21,cat3,subcat3
1410,2720,Expanded solution-oriented benchmark,5000,11502,successful,117,US,USD,2021-05-26,2021-11-24,cat3,subcat3
2465,5251,Implemented discrete secured line,5400,7322,successful,70,US,USD,2020-12-03,2021-11-25,cat2,subcat8
377,1797,Multi-lateral actuating installation,9000,11619,successful,135,US,USD,2021-02-07,2021-04-20,cat4,subcat4
1882,1656,Secured reciprocal array,25000,59128,successful,768,CH,CHF,2021-01-28,2021-11-21,cat3,subcat9
822,1346,Optional bandwidth-monitored middleware,8800,1518,canceled,51,US,USD,2020-09-15,2021-02-01,cat4,subcat4
2730,2989,Upgradable upward-trending workforce,8300,9337,successful,199,US,USD,2021-08-21,2021-11-15,cat4,subcat4
2198,5629,Upgradable hybrid capability,9300,11255,successful,107,US,USD,2020-04-19,2021-02-15,cat3,subcat9
2757,3456,Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,2020-09-08,2021-04-16,cat2,subcat8
2588,3229,Networked stable workforce,100,1,failed,1,US,USD,2021-01-21,2021-07-11,cat2,subcat2
1090,2277,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,2021-12-02,2022-01-12,cat2,subcat6
64,1276,User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,2020-11-13,2021-07-23,cat2,subcat8
2171,3694,Multi-tiered radical definition,189400,176112,failed,5681,US,USD,2021-07-17,2021-11-12,cat4,subcat4
625,2260,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,2021-01-29,2021-06-20,cat2,subcat8
1065,5374,Distributed eco-centric methodology,139500,90706,failed,1194,US,USD,2021-05-23,2021-07-29,cat4,subcat4
174,4420,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,2020-11-24,2021-12-26,cat2,subcat2
1344,3849,User-friendly reciprocal initiative,4200,2212,failed,30,AU,AUD,2021-04-20,2021-10-14,cat8,subcat15
2824,1638,Ergonomic fresh-thinking installation,2100,4640,successful,41,US,USD,2020-12-28,2021-11-24,cat2,subcat2
940,5230,Robust explicit hardware,191200,191222,successful,1821,US,USD,2021-05-22,2021-06-30,cat4,subcat4
3024,1763,Stand-alone actuating support,8000,12985,successful,164,US,USD,2021-04-26,2021-07-14,cat3,subcat9
2164,4323,Cross-platform methodical process improvement,5500,4300,failed,75,US,USD,2021-02-01,2021-09-05,cat3,subcat3
2427,5256,Extended bottom-line open architecture,6100,9134,successful,157,CH,CHF,2021-09-05,2021-12-16,cat2,subcat2
1548,4836,Extended reciprocal circuit,3500,8864,successful,246,US,USD,2020-08-01,2021-08-15,cat8,subcat15
2657,5981,Polarized human-resource protocol,150500,150755,successful,1396,US,USD,2021-11-14,2021-11-24,cat4,subcat4
2916,1463,Synergized radical product,90400,110279,successful,2506,US,USD,2021-05-05,2021-08-08,cat3,subcat3
1348,4577,Robust heuristic artificial intelligence,9800,13439,successful,244,US,USD,2021-01-11,2021-08-25,cat8,subcat15
557,4951,Robust content-based emulation,2600,10804,successful,146,AU,AUD,2021-04-01,2021-10-19,cat4,subcat4
2915,3567,Ergonomic uniform open system,128100,40107,failed,955,DK,DKK,2020-05-16,2021-03-18,cat2,subcat8
320,5475,Profit-focused modular product,23300,98811,successful,1267,US,USD,2020-07-10,2021-03-23,cat5,subcat13
1458,2114,Mandatory mobile product,188100,5528,failed,67,US,USD,2020-09-24,2021-07-27,cat2,subcat8
379,5216,Public-key 3rdgeneration budgetary management,4900,521,failed,5,US,USD,2020-11-17,2021-11-23,cat6,subcat19
1879,1665,Centralized national firmware,800,663,failed,26,US,USD,2020-09-04,2021-04-16,cat5,subcat5
597,6051,Cross-group 4thgeneration middleware,96700,157635,successful,1561,US,USD,2021-03-21,2021-10-17,cat4,subcat4
1130,3983,Pre-emptive scalable access,600,5368,successful,48,US,USD,2020-04-15,2021-02-08,cat3,subcat9
2354,2966,Sharable intangible migration,181200,47459,failed,1130,US,USD,2021-01-27,2021-12-16,cat4,subcat4
1358,4478,Proactive scalable Graphical User Interface,115000,86060,failed,782,US,USD,2021-01-06,2021-05-06,cat4,subcat4
188,4238,Digitized solution-oriented product,38800,161593,successful,2739,US,USD,2021-05-02,2021-08-26,cat4,subcat4
2228,4404,Triple-buffered cohesive structure,7200,6927,failed,210,US,USD,2021-04-17,2021-07-08,cat1,subcat1
1743,5666,Realigned human-resource orchestration,44500,159185,successful,3537,CA,CAD,2020-09-14,2021-04-11,cat4,subcat4
2563,3691,Optional clear-thinking software,56000,172736,successful,2107,AU,AUD,2020-10-09,2021-06-06,cat3,subcat9
2424,2703,Centralized global approach,8600,5315,failed,136,US,USD,2021-03-17,2021-04-15,cat3,subcat3
2369,4253,Reverse-engineered bandwidth-monitored contingency,27100,195750,successful,3318,DK,DKK,2021-03-09,2021-08-28,cat4,subcat4
1134,5652,Pre-emptive bandwidth-monitored instruction set,5100,3525,failed,86,CA,CAD,2020-04-16,2021-03-02,cat2,subcat2
2241,3279,Adaptive asynchronous emulation,3600,10550,successful,340,US,USD,2021-07-13,2021-09-11,cat4,subcat4
2745,3233,Innovative actuating conglomeration,1000,718,failed,19,US,USD,2020-04-28,2021-03-22,cat5,subcat20
1055,3017,Grass-roots foreground policy,88800,28358,failed,886,US,USD,2021-02-10,2021-08-16,cat4,subcat4
1215,3482,Horizontal transitional paradigm,60200,138384,successful,1442,CA,CAD,2020-06-12,2021-02-20,cat5,subcat13
2036,2166,Networked didactic info-mediaries,8200,2625,failed,35,IT,EUR,2021-06-18,2021-10-07,cat4,subcat4
1191,4146,Switchable contextually-based access,191300,45004,canceled,441,US,USD,2021-01-30,2021-05-23,cat4,subcat4
879,2651,Up-sized dynamic throughput,3700,2538,failed,24,US,USD,2021-02-24,2021-09-04,cat4,subcat4
3062,1409,Mandatory reciprocal superstructure,8400,3188,failed,86,IT,EUR,2020-07-25,2021-05-11,cat4,subcat4
611,3717,Upgradable 4thgeneration productivity,42600,8517,failed,243,US,USD,2020-11-07,2021-06-16,cat2,subcat2
3195,3963,Progressive discrete hub,6600,3012,failed,65,US,USD,2020-04-25,2021-03-22,cat2,subcat8
1221,2152,Assimilated multi-tasking archive,7100,8716,successful,126,US,USD,2021-08-30,2021-09-21,cat2,subcat17
2536,2974,Upgradable high-level solution,15800,57157,successful,524,US,USD,2021-02-02,2021-12-15,cat2,subcat6
1834,1268,Organic bandwidth-monitored frame,8200,5178,failed,100,DK,DKK,2020-08-06,2021-08-30,cat3,subcat9
593,1822,Business-focused logistical framework,54700,163118,successful,1989,US,USD,2021-03-14,2021-06-02,cat5,subcat7
3039,5066,Universal multi-state capability,63200,6041,failed,168,US,USD,2021-04-05,2021-07-05,cat2,subcat6
777,5075,Digitized reciprocal infrastructure,1800,968,failed,13,US,USD,2020-03-14,2021-03-13,cat2,subcat2
835,3855,Reduced dedicated capability,100,2,failed,1,CA,CAD,2020-09-24,2021-05-26,cat4,subcat4
797,5923,Cross-platform bi-directional workforce,2100,14305,successful,157,US,USD,2021-02-09,2021-10-26,cat3,subcat3
509,1867,Upgradable scalable methodology,8300,6543,canceled,82,US,USD,2020-08-13,2021-04-22,cat1,subcat1
2286,4376,Customer-focused client-server service-desk,143900,193413,successful,4498,AU,AUD,2021-05-24,2021-09-24,cat4,subcat4
2110,2785,Mandatory multimedia leverage,75000,2529,failed,40,US,USD,2020-10-20,2021-01-17,cat2,subcat18
1038,5884,Focused analyzing circuit,1300,5614,successful,80,US,USD,2021-04-10,2022-01-04,cat4,subcat4
2893,2441,Fundamental grid-enabled strategy,9000,3496,canceled,57,US,USD,2021-06-04,2021-10-29,cat6,subcat14
805,1243,Digitized 5thgeneration knowledgebase,1000,4257,successful,43,US,USD,2020-12-25,2021-08-29,cat2,subcat2
225,3411,Mandatory multi-tasking encryption,196900,199110,successful,2053,US,USD,2020-12-07,2021-08-21,cat5,subcat5
968,2467,Distributed system-worthy application,194500,41212,live,808,AU,AUD,2021-06-07,2021-09-21,cat5,subcat5
1369,1850,Synergistic tertiary time-frame,9400,6338,failed,226,DK,DKK,2021-01-28,2021-08-24,cat5,subcat23
1417,2604,Customer-focused impactful benchmark,104400,99100,failed,1625,US,USD,2020-06-13,2021-06-17,cat4,subcat4
3011,1693,Profound next generation infrastructure,8100,12300,successful,168,US,USD,2020-02-24,2021-03-05,cat4,subcat4
2691,2969,Face-to-face encompassing info-mediaries,87900,171549,successful,4289,US,USD,2020-12-20,2021-07-30,cat2,subcat8
2159,1544,Open-source fresh-thinking policy,1400,14324,successful,165,US,USD,2021-06-01,2021-07-24,cat2,subcat2
2515,4149,Extended 24/7 implementation,156800,6024,failed,143,US,USD,2020-10-07,2021-05-14,cat4,subcat4
544,3463,Organic dynamic algorithm,121700,188721,successful,1815,US,USD,2020-08-22,2021-01-06,cat4,subcat4
3030,2939,Organic multi-tasking focus group,129400,57911,failed,934,US,USD,2021-03-09,2021-06-28,cat5,subcat23
817,2202,Adaptive logistical initiative,5700,12309,successful,397,GB,GBP,2021-02-04,2021-04-26,cat5,subcat13
1400,1728,Stand-alone mobile customer loyalty,41700,138497,successful,1539,US,USD,2020-08-30,2021-08-04,cat5,subcat11
657,5362,Focused composite approach,7900,667,failed,17,US,USD,2021-07-31,2021-12-01,cat4,subcat4
966,4840,Face-to-face clear-thinking Local Area Network,121500,119830,failed,2179,US,USD,2021-04-10,2021-10-01,cat1,subcat1
1558,2955,Cross-group cohesive circuit,4800,6623,successful,138,US,USD,2020-12-18,2021-04-27,cat8,subcat15
1379,5354,Synergistic explicit capability,87300,81897,failed,931,US,USD,2021-03-28,2021-08-25,cat4,subcat4
286,3847,Diverse analyzing definition,46300,186885,successful,3594,US,USD,2021-01-01,2021-05-30,cat5,subcat23
894,3025,Enterprise-wide reciprocal success,67800,176398,successful,5880,US,USD,2020-10-14,2021-02-28,cat2,subcat2
709,1615,Progressive neutral middleware,3000,10999,successful,112,US,USD,2020-11-26,2021-02-08,cat8,subcat15
1599,5154,Intuitive exuding process improvement,60900,102751,successful,943,US,USD,2020-08-07,2021-06-15,cat7,subcat21
905,5005,Exclusive real-time protocol,137900,165352,successful,2468,US,USD,2021-05-12,2021-10-18,cat5,subcat11
146,1349,Extended encompassing application,85600,165798,successful,2551,US,USD,2020-12-19,2021-03-10,cat7,subcat21
1632,3670,Progressive value-added ability,2400,10084,successful,101,US,USD,2021-01-25,2021-06-15,cat7,subcat12
537,2912,Cross-platform uniform hardware,7200,5523,canceled,67,US,USD,2021-02-12,2021-09-13,cat4,subcat4
1289,4336,Progressive secondary portal,3400,5823,successful,92,US,USD,2020-12-05,2021-11-09,cat4,subcat4
2712,5576,Multi-lateral national adapter,3800,6000,successful,62,US,USD,2021-10-15,2021-10-19,cat5,subcat11
1980,2736,Enterprise-wide motivating matrices,7500,8181,successful,149,IT,EUR,2020-06-16,2021-06-28,cat7,subcat12
296,3321,Polarized upward-trending Local Area Network,8600,3589,failed,92,US,USD,2020-09-15,2021-02-23,cat5,subcat11
1760,3353,Object-based directional function,39500,4323,failed,57,AU,AUD,2021-01-21,2021-12-01,cat2,subcat2
2435,2336,Re-contextualized tangible open architecture,9300,14822,successful,329,US,USD,2021-03-15,2021-11-14,cat5,subcat11
